symbol,edge_name,category,horizon_bars,direction,n_signals,hit_rate,mean_return_bps,std_return_bps,sharpe,t_stat,p_value,expectancy_bps,edge_score,sample_pct
GLD,death_cross_state,MOMENTUM,390,long,1083,0.9908,1188.63,654.7,3.721,59.748,0.0,1287285.6,59.748,21.37
GLD,golden_cross_state,MOMENTUM,390,long,3395,0.8271,704.53,813.25,1.775,50.477,0.0,2391865.3,50.477,67.0
GLD,trend_above_50sma,MOMENTUM,390,long,2834,0.8271,764.53,806.9,1.942,50.44,0.0,2166674.2,50.44,55.93
GLD,dow_midweek,TIME_OF_DAY,390,long,2846,0.8433,776.82,822.63,1.935,50.377,0.0,2210835.5,50.377,56.17
SI=F,death_cross_state,MOMENTUM,390,long,4940,0.7953,553.12,795.59,1.425,48.864,0.0,2732400.8,48.864,36.03
GC=F,dow_midweek,TIME_OF_DAY,390,long,8090,0.7103,248.97,482.07,1.058,46.452,0.0,2014171.5,46.452,58.97
XLC,golden_cross_state,MOMENTUM,390,long,3143,0.7827,464.95,573.68,1.661,45.436,0.0,1461324.9,45.436,61.97
GC=F,death_cross_state,MOMENTUM,390,long,4709,0.7823,310.45,477.83,1.332,44.585,0.0,1461932.4,44.585,34.32
GC=F,trend_below_50sma,MOMENTUM,390,long,5524,0.7482,291.09,493.92,1.208,43.801,0.0,1607964.2,43.801,40.27
GLD,trend_below_50sma,MOMENTUM,390,long,1794,0.9013,838.99,812.98,2.115,43.711,0.0,1505150.3,43.711,35.41
GC=F,golden_cross_state,MOMENTUM,390,long,8421,0.6863,223.29,486.08,0.941,42.154,0.0,1880296.8,42.154,61.38
XLC,dow_midweek,TIME_OF_DAY,390,long,2847,0.7956,474.75,601.34,1.618,42.125,0.0,1351612.8,42.125,56.13
GC=F,trend_above_50sma,MOMENTUM,390,long,7756,0.6971,223.64,473.12,0.969,41.629,0.0,1734563.3,41.629,56.53
SPY,golden_cross_state,MOMENTUM,390,long,3245,0.8284,354.88,489.22,1.487,41.323,0.0,1151594.3,41.323,64.03
XLU,death_cross_state,MOMENTUM,390,long,1704,0.814,526.51,528.88,2.04,41.095,0.0,897173.1,41.095,33.6
GLD,vol_compression_then_expansion,GAMMA_PROXY,390,long,721,0.9071,1154.71,773.56,3.059,40.082,0.0,832542.9,40.082,14.23
XLC,trend_above_50sma,MOMENTUM,390,long,2835,0.7922,455.31,605.8,1.54,40.018,0.0,1290808.2,40.018,55.9
GLD,momo_acceleration_neg,MOMENTUM,390,long,2061,0.8108,711.89,831.53,1.755,38.866,0.0,1467199.5,38.866,40.67
CPER,death_cross_state,MOMENTUM,390,long,1758,0.756,775.45,836.64,1.899,38.862,0.0,1363242.7,38.862,34.74
XLI,death_cross_state,MOMENTUM,390,long,1675,0.8358,666.05,706.05,1.933,38.608,0.0,1115632.5,38.608,33.02
