symbol,n_trades,win_rate,pf,cagr_pct,max_dd_pct,sharpe_proxy,avg_win_usd,avg_loss_usd,final_equity,profit_usd,years,edge_score,promo_ready
GLD,191,0.801,4.039,35.32,-7.49,4.71,1178.1,-1174.4,235617.0,135617.0,2.83,119.1,True
SPY,169,0.7574,3.534,20.0,-6.48,3.09,738.0,-651.9,167732.0,67732.0,2.84,89.7,True
DIA,146,0.8288,3.354,16.58,-6.02,2.76,632.1,-912.2,153678.0,53678.0,2.8,81.1,True
^NDX,161,0.764,2.596,18.21,-6.57,2.77,803.0,-1001.3,160723.0,60723.0,2.84,59.5,True
NQ=F,325,0.6123,1.733,19.61,-11.72,1.67,624.9,-569.5,152596.0,52596.0,2.36,30.5,False
ES=F,258,0.624,1.77,12.37,-9.11,1.36,451.3,-423.1,131614.0,31614.0,2.35,27.0,False
QQQ,160,0.7312,1.849,12.7,-9.89,1.28,749.2,-1102.7,140237.0,40237.0,2.83,26.5,False
GC=F,400,0.6,1.364,13.53,-13.88,0.97,547.2,-601.7,135051.0,35051.0,2.37,11.6,False
AAPL,198,0.702,1.52,9.7,-15.24,0.64,624.3,-967.4,129695.0,29695.0,2.81,6.4,False
TSLA,218,0.7752,1.476,11.77,-24.21,0.49,680.9,-1590.9,137118.0,37118.0,2.84,-5.9,False
IWM,152,0.6316,1.391,6.78,-18.8,0.36,752.9,-928.0,120310.0,20310.0,2.82,-6.6,False
NVDA,265,0.766,1.213,10.42,-38.82,0.27,893.5,-2412.2,131823.0,31823.0,2.79,-36.1,False
BTC-USD,510,0.6686,1.031,3.12,-41.35,0.08,610.6,-1195.0,106271.0,6271.0,1.98,-48.0,False
